Symbol,Description,Market capitalization,Market capitalization - Currency,Price to earnings ratio,Performance % 1 year,Performance % 6 months,Performance % 1 month,"Earnings per share diluted growth %, Annual YoY","Revenue growth %, Annual YoY","Debt to equity ratio, Quarterly","Current ratio, Quarterly","Net margin %, Trailing 12 months","Free cash flow, Trailing 12 months","Free cash flow, Trailing 12 months - Currency",Industry,Country or region of registration
MTELEKOM,Magyar Telekom Telecommunications PLC,5466966322.680459,USD,8.69001580530082,41.15942028985507,10.056497175141242,8.222222222222221,105.12772436854362,13.905096942211422,0.349844406246263,1.44817106003135,20.5418303494626,781454440,USD,Major telecommunications,Hungary
NKT,NKT A/S,6721138017.974799,USD,25.128309611820978,49.56689124157844,33.27615780445969,-0.7028753993610224,80.56616664191296,26.80708990265671,0.20788912579957403,1.43845682792407,6.18076789585071,-450496538.68799996,USD,Electrical products,Denmark
IXX,init innovation in traffic systems SE,536192585.04780996,USD,29.137182612832255,29.973474801061,15.294117647058824,7.929515418502206,1.9253284766488779,26.030711429262652,0.785640875055058,1.43532494842405,5.29559744427235,36403629.120000005,USD,Information technology services,Germany
GRK,GRK Infra Plc,676190155.97838,USD,11.226102069837257,38.63414634146343,-0.2807017543859589,-1.0169963778211133,83.31990330378727,33.38838163486132,0.208886790814776,1.42835008483091,5.89442848675512,170443333.44,USD,Engineering & construction,Finland
KRN,Krones AG,4944991366.87969,USD,15.162754167030283,8.255451713395635,-0.14367816091953206,3.4226190476190435,23.344074975725764,12.135571261404086,0.0898693615972394,1.38773943091165,5.24087534972315,328022244.16,USD,Industrial machinery,Germany
ALC,Altia Consultores S.A.,574360249.9724,USD,29.65747702589808,54.34782608695652,10.937499999999988,0.7092198581560258,0.44642857142857184,5.947808051173274,0.19554172856047503,1.37337049101643,5.91378615163142,23527299.255900003,USD,Information technology services,Spain
WAVE,Wavestone SA,1686770220.51087,USD,18.697694676912548,36.281179138321995,-1.797385620915035,8.876811594202897,13.899329353673822,34.60636525470148,0.0628921345628044,1.36800814896887,8.33116158052754,119487874.88000001,USD,Miscellaneous commercial services,France
KTN,Kontron AG,1751372382.9917898,USD,10.900990999181744,22.409392547217973,-15.384615384615383,6.106194690265482,20.089360984656903,37.43016623067718,0.597136433354425,1.36552661017277,8.213068796559,47667479.68,USD,Computer processing hardware,Austria
UCB,UCB S.A.,56902563429.936386,USD,37.779626143676396,39.71937398812734,44.71771939631077,9.010526315789464,211.51766915153934,17.136329017517134,0.29722193535061403,1.35359959297889,19.4509345794393,1447749710,USD,Pharmaceuticals: major,Belgium
CLAS_B,Clas Ohlson AB Class B,2038993096.9529998,USD,18.79694549635684,33.097345132743364,-7.559926244621993,0.5347593582887776,72.53803242271837,13.6318767775291,0.733306629280993,1.33312721710548,8.49984616791811,182347670,USD,Home improvement chains,Sweden
YACHT,Ferretti S.p.A.,1464455841.1775799,USD,14.856921887084301,33.402777777777786,42.82527881040893,29.18628110289172,5.827220863895672,9.331290701323244,0.039884038962376904,1.31272940018165,7.10218073541693,-108602432.07000001,USD,Recreational products,Italy
ITX,"Industria de Diseno Textil, S.A.",201771980617.4721,USD,28.52719578903912,14.120561519405458,28.259860788863108,-1.356174161313344,8.98030127462341,7.4693298467187805,0.290343176376696,1.30363134740139,15.334806124781,,,Apparel/Footwear retail,Spain
EMG,Man Group PLC,3868372749.264,USD,21.86150102933188,25.473484848484855,45.684442001099505,18.19803746654773,25.705128205128204,18.670210751814555,0.267433987813135,1.28524590163935,13.6146907510119,327134423.616,USD,Investment managers,United Kingdom
VIL,Viel & Cie SA,1257610192.9970999,USD,9.1133999798041,56.956521739130444,12.461059190031152,7.76119402985075,24.584284316922073,9.627181409989353,1.1016339251296399,1.28506214588203,10.0347624378681,193384728.35000002,USD,Financial conglomerates,France
WRT1V,Wartsila Oyj Abp,22350386681.95153,USD,32.521687697160885,83.0743618201998,38.55522889542211,9.202250910294607,94.51553930530164,7.215295095594347,0.217910447761194,1.28503899787284,8.86917960088692,1419862400,USD,Trucks/Construction/Farm machinery,Finland
BAIN,Monte-Carlo Societe des Bains de Mer SA,3522372629.9685497,USD,26.091131102715565,22.54901960784314,20.192307692307693,17.92452830188679,5.955610066750015,9.094615191214759,0.027070237125212802,1.28411137977208,14.4059616627603,29671603.84,USD,Hotels/Resorts/Cruise lines,Monaco
NEX,Nexans SA,6327165119.367229,USD,11.917537418808246,30.515463917525768,5.06224066390041,1.7684887459806982,26.078730546231316,9.70474967907574,1.1041776837652,1.28010139416984,5.30051009092925,604308870,USD,Electrical products,France
74SW,74Software,1302066552.90207,USD,21.642190379927463,34.81481481481481,-6.426735218508997,-7.8481012658227876,9.981641395253964,44.800235754414125,0.610143075887763,1.27282043056744,6.41715623844542,79381212.13000001,USD,Packaged software,France
VRC,Vercom SA,847186915.15314,USD,35.41076487252125,16.182572614107883,17.056856187290975,12.359550561797757,8.804536147424793,47.08382610551401,0.225599541994445,1.26547548571121,18.5300062287872,25661045.07,USD,Information technology services,Poland
