timestamp_entry,timestamp_exit,direction,direction_filter,threshold,wf_window,entry_price,exit_price,exit_reason,pnl_points,pnl_pct
2024-10-01T13:15:00Z,2024-10-01T14:00:00Z,Long,dir_donchian,0.65,19,2648.04,2653.5506,tp,5.0106,0.18922
2024-10-02T14:00:00Z,2024-10-02T14:30:00Z,Short,dir_donchian,0.65,19,2650.34,2649.8981,trail,-0.0581,-0.00219
2024-10-04T12:00:00Z,2024-10-04T13:30:00Z,Short,dir_donchian,0.65,19,2658.43,2660.9593,trail,-3.0293,-0.11395
2024-10-04T13:30:00Z,2024-10-04T14:00:00Z,Long,dir_donchian,0.65,19,2661.18,2658.2815,trail,-3.3985,-0.12771
2024-10-07T12:15:00Z,2024-10-07T14:15:00Z,Long,dir_donchian,0.65,19,2658.17,2654.8136,trail,-3.8564,-0.14508
2024-10-10T11:45:00Z,2024-10-10T13:15:00Z,Long,dir_donchian,0.65,19,2617.08,2614.6768,trail,-2.9032,-0.11093
2024-10-11T06:00:00Z,2024-10-11T08:15:00Z,Long,dir_donchian,0.65,19,2645.33,2642.1212,trail,-3.7088,-0.1402
2024-10-11T12:30:00Z,2024-10-11T13:45:00Z,Short,dir_donchian,0.65,19,2640.32,2643.1426,trail,-3.3226,-0.12584
2024-10-16T13:15:00Z,2024-10-16T15:30:00Z,Long,dir_donchian,0.65,19,2677.96,2684.4666,tp,6.0066,0.2243
2024-10-18T06:00:00Z,2024-10-18T08:00:00Z,Long,dir_donchian,0.65,19,2711.14,2709.0173,trail,-2.6227,-0.09674
2024-10-18T11:15:00Z,2024-10-18T12:30:00Z,Long,dir_donchian,0.65,19,2712.06,2707.9187,trail,-4.6413,-0.17114
2024-10-22T11:00:00Z,2024-10-22T11:30:00Z,Long,dir_donchian,0.65,19,2735.63,2731.9396,trail,-4.1904,-0.15318
2024-10-22T12:30:00Z,2024-10-22T13:15:00Z,Long,dir_donchian,0.65,19,2738.45,2734.8865,trail,-4.0635,-0.14839
2024-10-24T12:45:00Z,2024-10-24T14:30:00Z,Long,dir_donchian,0.65,19,2736.76,2735.0992,trail,-2.1608,-0.07896
2024-10-25T12:00:00Z,2024-10-25T12:45:00Z,Short,dir_donchian,0.65,19,2719.35,2721.9281,trail,-3.0781,-0.11319
2024-10-25T12:45:00Z,2024-10-25T13:30:00Z,Short,dir_donchian,0.65,19,2722.19,2726.3343,trail,-4.6443,-0.17061
2024-11-01T12:30:00Z,2024-11-01T13:30:00Z,Long,dir_donchian,0.65,19,2752.84,2749.5935,trail,-3.7465,-0.13609
2024-11-01T13:30:00Z,2024-11-01T14:15:00Z,Long,dir_donchian,0.65,19,2755.86,2755.1686,trail,-1.1914,-0.04323
2024-11-05T13:00:00Z,2024-11-05T13:45:00Z,Long,dir_donchian,0.65,19,2742.05,2737.8762,trail,-4.6738,-0.17045
2024-11-05T14:30:00Z,2024-11-05T15:45:00Z,Long,dir_donchian,0.65,19,2744.39,2743.0674,trail,-1.8226,-0.06641
2024-11-08T08:00:00Z,2024-11-08T09:00:00Z,Short,dir_donchian,0.65,19,2683.11,2687.8097,trail,-5.1997,-0.19379
2024-11-08T11:30:00Z,2024-11-08T12:30:00Z,Short,dir_donchian,0.65,19,2687.81,2693.4203,trail,-6.1103,-0.22733
2024-11-15T13:00:00Z,2024-11-15T14:00:00Z,Short,dir_donchian,0.65,19,2566.8,2571.8907,trail,-5.5907,-0.21781
2024-11-15T14:15:00Z,2024-11-15T14:30:00Z,Long,dir_donchian,0.65,19,2570.38,2564.8353,trail,-6.0447,-0.23517
2024-11-22T13:00:00Z,2024-11-22T13:45:00Z,Short,dir_donchian,0.65,19,2700.16,2704.6045,trail,-4.9445,-0.18312
2024-11-28T13:30:00Z,2024-11-28T15:45:00Z,Long,dir_donchian,0.65,19,2646.1,2642.9628,trail,-3.6372,-0.13746
2024-11-29T12:00:00Z,2024-11-29T14:00:00Z,Long,dir_donchian,0.65,19,2663.48,2658.3928,trail,-5.5872,-0.20977
2024-09-05T13:30:00Z,2024-09-05T14:15:00Z,Short,dir_sess_mom,0.65,19,2514.65,2517.922,trail,-3.772,-0.15
2024-09-06T11:00:00Z,2024-09-06T11:30:00Z,Short,dir_sess_mom,0.65,19,2516.92,2519.5986,trail,-3.1786,-0.12629
2024-09-06T11:30:00Z,2024-09-06T13:30:00Z,Long,dir_sess_mom,0.65,19,2519.54,2516.8304,trail,-3.2096,-0.12739
2024-09-10T12:00:00Z,2024-09-10T14:30:00Z,Short,dir_sess_mom,0.65,19,2506.88,2507.5519,trail,-1.1719,-0.04675
2024-09-10T14:45:00Z,2024-09-10T15:30:00Z,Long,dir_sess_mom,0.65,19,2513.74,2511.1731,trail,-3.0669,-0.12201
2024-09-12T12:00:00Z,2024-09-12T12:45:00Z,Short,dir_sess_mom,0.65,19,2520.09,2515.5203,tp,4.0697,0.16149
2024-09-13T06:00:00Z,2024-09-13T08:15:00Z,Short,dir_sess_mom,0.65,19,2567.41,2567.5576,trail,-0.6476,-0.02522
2024-09-13T11:00:00Z,2024-09-13T11:45:00Z,Long,dir_sess_mom,0.65,19,2568.76,2567.1474,trail,-2.1126,-0.08224
2024-09-18T11:45:00Z,2024-09-18T12:15:00Z,Short,dir_sess_mom,0.65,19,2571.88,2574.5739,trail,-3.1939,-0.12419
2024-09-18T12:15:00Z,2024-09-18T14:00:00Z,Long,dir_sess_mom,0.65,19,2575.2,2576.3846,trail,0.6846,0.02659
2024-09-20T11:00:00Z,2024-09-20T11:45:00Z,Long,dir_sess_mom,0.65,19,2608.98,2604.9166,trail,-4.5634,-0.17491
2024-09-20T12:00:00Z,2024-09-20T12:45:00Z,Short,dir_sess_mom,0.65,19,2608.04,2612.2611,trail,-4.7211,-0.18102
2024-09-25T13:45:00Z,2024-09-25T15:00:00Z,Long,dir_sess_mom,0.65,19,2657.34,2664.1058,tp,6.2658,0.23579
2024-09-27T12:00:00Z,2024-09-27T13:15:00Z,Short,dir_sess_mom,0.65,19,2663.83,2668.0083,trail,-4.6783,-0.17562
2024-09-27T13:15:00Z,2024-09-27T14:00:00Z,Long,dir_sess_mom,0.65,19,2667.09,2664.5362,trail,-3.0538,-0.1145
2024-10-01T11:15:00Z,2024-10-01T13:15:00Z,Long,dir_sess_mom,0.65,19,2647,2648.2147,trail,0.7147,0.027
2024-10-01T13:15:00Z,2024-10-01T13:45:00Z,Short,dir_sess_mom,0.65,19,2648.04,2651.3464,trail,-3.8064,-0.14374
2024-10-02T14:00:00Z,2024-10-02T14:30:00Z,Short,dir_sess_mom,0.65,19,2650.34,2649.8981,trail,-0.0581,-0.00219
2024-10-04T12:00:00Z,2024-10-04T13:30:00Z,Short,dir_sess_mom,0.65,19,2658.43,2660.9593,trail,-3.0293,-0.11395
2024-10-04T13:30:00Z,2024-10-04T14:00:00Z,Long,dir_sess_mom,0.65,19,2661.18,2658.2815,trail,-3.3985,-0.12771
2024-10-07T12:15:00Z,2024-10-07T14:15:00Z,Long,dir_sess_mom,0.65,19,2658.17,2654.8136,trail,-3.8564,-0.14508
2024-10-10T11:45:00Z,2024-10-10T13:15:00Z,Long,dir_sess_mom,0.65,19,2617.08,2614.6768,trail,-2.9032,-0.11093
2024-10-11T06:00:00Z,2024-10-11T08:45:00Z,Short,dir_sess_mom,0.65,19,2645.33,2638.6929,tp,6.1371,0.232
2024-10-11T12:30:00Z,2024-10-11T14:00:00Z,Long,dir_sess_mom,0.65,19,2640.32,2646.4065,tp,5.5865,0.21158
2024-10-16T13:15:00Z,2024-10-16T15:30:00Z,Long,dir_sess_mom,0.65,19,2677.96,2684.4666,tp,6.0066,0.2243
2024-10-18T06:00:00Z,2024-10-18T07:30:00Z,Short,dir_sess_mom,0.65,19,2711.14,2713.1965,trail,-2.5565,-0.0943
2024-10-18T11:15:00Z,2024-10-18T12:30:00Z,Long,dir_sess_mom,0.65,19,2712.06,2707.9187,trail,-4.6413,-0.17114
2024-10-22T11:00:00Z,2024-10-22T11:30:00Z,Long,dir_sess_mom,0.65,19,2735.63,2731.9396,trail,-4.1904,-0.15318
2024-10-22T12:30:00Z,2024-10-22T13:15:00Z,Long,dir_sess_mom,0.65,19,2738.45,2734.8865,trail,-4.0635,-0.14839
2024-10-24T12:45:00Z,2024-10-24T13:45:00Z,Short,dir_sess_mom,0.65,19,2736.76,2739.2037,trail,-2.9437,-0.10756
2024-10-24T13:45:00Z,2024-10-24T14:30:00Z,Long,dir_sess_mom,0.65,19,2738.52,2735.0992,trail,-3.9208,-0.14317
2024-10-25T12:00:00Z,2024-10-25T12:45:00Z,Short,dir_sess_mom,0.65,19,2719.35,2721.9281,trail,-3.0781,-0.11319
2024-10-25T12:45:00Z,2024-10-25T13:30:00Z,Long,dir_sess_mom,0.65,19,2722.19,2729.0971,tp,6.4071,0.23537
2024-11-01T12:30:00Z,2024-11-01T13:30:00Z,Short,dir_sess_mom,0.65,19,2752.84,2754.7803,trail,-2.4403,-0.08865
2024-11-01T13:30:00Z,2024-11-01T14:15:00Z,Long,dir_sess_mom,0.65,19,2755.86,2755.1686,trail,-1.1914,-0.04323
2024-11-05T13:00:00Z,2024-11-05T14:15:00Z,Short,dir_sess_mom,0.65,19,2742.05,2741.9054,trail,-0.3554,-0.01296
