datetime,open,close,high,low,volume,hour,date,atr,atr_pct,in_session,bars_until_session_end,label,barrier_touched,bars_to_exit,realized_return,upper_barrier,lower_barrier,effective_horizon,n_concurrent,sample_weight,label_original,entry_time,exit_time,log_return,realized_return_adj,log_return_adj
2019-10-03T08:00:00Z,1498.23,1502.39,1502.68,1497.57,5718,8,2019-10-03,1.45636447889021,0.0969365130818368,TRUE,44,-1,lower,3,-0.00242341282704589,1506.03091119723,1498.74908880277,20,2,0.5,-1,2019-10-03T08:00:00Z,2019-10-03T08:45:00Z,-0.00242635404472842,-0.00255341282704589,-0.00255667834557428
2019-10-03T08:45:00Z,1501,1496.75,1501.27,1495.77,8562,8,2019-10-03,2.04602970511098,0.13669815968672,TRUE,41,1,upper,8,0.00341745399216796,1501.86507426278,1491.63492573722,20,2,0.5,1,2019-10-03T08:45:00Z,2019-10-03T10:45:00Z,0.00341162776640586,0.00328745399216796,0.00328206212906219
2019-10-03T10:45:00Z,1501.14,1502.71,1503.52,1501,6953,10,2019-10-03,2.15021418503624,0.143089098031972,TRUE,33,0,vertical,20,-0.00107805231881076,1508.08553546259,1497.33446453741,20,2,0.5,0,2019-10-03T10:45:00Z,2019-10-03T15:45:00Z,-0.00107863383518608,-0.00120805231881076,-0.0012087826022195
2019-10-03T15:45:00Z,1502.26,1501.09,1502.82,1499.83,11246,15,2019-10-03,2.59998555207639,0.173206506743526,TRUE,13,1,upper,1,0.00433016266858815,1507.58996388019,1494.59003611981,12,2,0.5,1,2019-10-03T15:45:00Z,2019-10-03T16:00:00Z,0.00432081449059205,0.00420016266858815,0.00419136660669249
2019-10-03T16:00:00Z,1501.1,1515.17,1519.51,1501.01,31896,16,2019-10-03,4.18998699686875,0.276535768056967,TRUE,12,0,vertical,11,-0.00479814146267414,1525.64496749217,1504.69503250783,11,2,0.5,-1,2019-10-03T16:00:00Z,2019-10-03T18:45:00Z,-0.00480968949763354,-0.00492814146267414,-0.00494032479575326
2019-10-04T02:00:00Z,1508.23,1507.59,1508.67,1507.31,3176,2,2019-10-04,1.50608537030817,0.0999001963602946,TRUE,68,0,vertical,20,-0.000424518602537741,1511.35521342577,1503.82478657423,20,1,1,0,2019-10-04T02:00:00Z,2019-10-04T07:00:00Z,-0.000424608736069543,-0.000554518602537741,-0.000554672404838145
2019-10-04T07:00:00Z,1507.81,1506.95,1507.84,1506.63,2464,7,2019-10-04,1.08505129173242,0.0720031382416415,TRUE,48,1,upper,10,0.0018000784560411,1509.66262822933,1504.23737177067,20,2,0.5,1,2019-10-04T07:00:00Z,2019-10-04T09:30:00Z,0.00179846025645019,0.0016700784560411,0.00166868542578061
2019-10-04T09:30:00Z,1508.36,1508.94,1509.97,1507.98,4735,9,2019-10-04,1.61141180675773,0.106790979545756,TRUE,38,-1,lower_first,20,-0.00266977448864396,1512.96852951689,1504.91147048311,20,2,0.5,-1,2019-10-04T09:30:00Z,2019-10-04T14:30:00Z,-0.00267334469239571,-0.00279977448864396,-0.00280370118819903
2019-10-04T14:30:00Z,1508.61,1504.02,1515.62,1497.93,35467,14,2019-10-04,3.41574776790016,0.227107868771702,TRUE,18,0,vertical,17,0.00273267642717526,1512.55936941975,1495.48063058025,17,2,0.5,0,2019-10-04T14:30:00Z,2019-10-04T18:45:00Z,0.00272894945514267,0.00260267642717526,0.00259929533021313
2019-10-07T02:00:00Z,1508.06,1507.53,1508.58,1507.44,2652,2,2019-10-07,1.63128106578663,0.108208862562379,TRUE,68,0,vertical,20,-0.00182417596996411,1511.60820266447,1503.45179733553,20,1,1,-1,2019-10-07T02:00:00Z,2019-10-07T07:00:00Z,-0.00182584180510801,-0.00195417596996411,-0.00195608786301464
2019-10-07T07:00:00Z,1505.71,1504.78,1505.77,1504.12,2321,7,2019-10-07,0.963624699671349,0.0640375802224477,TRUE,48,1,upper,8,0.00160093950556119,1507.18906174918,1502.37093825082,20,2,0.5,1,2019-10-07T07:00:00Z,2019-10-07T09:00:00Z,0.00159965936801067,0.00147093950556119,0.00146985873375019
2019-10-07T09:00:00Z,1506.09,1506.02,1507.73,1505.05,5209,9,2019-10-07,1.15303705055462,0.0765618684051088,TRUE,40,-1,lower,1,-0.00191404671012765,1508.90259262639,1503.13740737361,20,2,0.5,-1,2019-10-07T09:00:00Z,2019-10-07T09:15:00Z,-0.00191588083831026,-0.00204404671012765,-0.00204613862473785
2019-10-07T09:15:00Z,1506.04,1501.93,1506.17,1500.4,8817,9,2019-10-07,1.61473334549916,0.107510559446789,TRUE,39,-1,lower,15,-0.00268776398616978,1505.96683336375,1497.89316663625,20,2,0.5,-1,2019-10-07T09:15:00Z,2019-10-07T13:00:00Z,-0.00269138250907047,-0.00281776398616978,-0.00282174135639472
2019-10-07T13:00:00Z,1499.69,1499.43,1500.21,1497.06,5090,13,2019-10-07,1.53584681538297,0.102428710602227,TRUE,24,1,upper,14,0.00256071776505565,1503.26961703846,1495.59038296154,20,2,0.5,1,2019-10-07T13:00:00Z,2019-10-07T16:30:00Z,0.0025574447137027,0.00243071776505565,0.00242776834912712
2019-10-07T16:30:00Z,1501.17,1503.46,1504.13,1500.64,8249,16,2019-10-07,2.06254353351359,0.137186458802601,TRUE,10,-1,lower,5,-0.00342966147006505,1508.61635883378,1498.30364116622,9,2,0.5,-1,2019-10-07T16:30:00Z,2019-10-07T17:45:00Z,-0.00343555624086939,-0.00355966147006505,-0.00356601214025886
2019-10-07T17:45:00Z,1498.83,1498.67,1499.38,1498.02,6917,17,2019-10-07,2.05301963110446,0.136989439376544,TRUE,5,0,vertical,4,0.000647240553290602,1503.80254907776,1493.53745092224,4,2,0.5,0,2019-10-07T17:45:00Z,2019-10-07T18:45:00Z,0.000647031183460665,0.000517240553290603,0.00051710683050476
2019-10-08T02:00:00Z,1492.08,1490.7,1492.35,1490.34,3079,2,2019-10-08,1.31902608094612,0.0884836708221723,TRUE,68,-1,lower,4,-0.00221209177055435,1493.99756520237,1487.40243479763,20,1,1,-1,2019-10-08T02:00:00Z,2019-10-08T03:00:00Z,-0.00221454205973164,-0.00234209177055435,-0.00234483875745363
2019-10-08T03:00:00Z,1489.31,1492.22,1492.65,1486.92,9001,3,2019-10-08,1.80285901170874,0.12081723952961,TRUE,64,0,vertical,20,-0.00127327069735032,1496.72714752927,1487.71285247073,20,2,0.5,0,2019-10-08T03:00:00Z,2019-10-08T08:00:00Z,-0.00127408199522564,-0.00140327069735032,-0.00140425620373809
2019-10-08T08:00:00Z,1490.78,1490.32,1490.91,1489.54,3994,8,2019-10-08,1.23441471080338,0.0828288361427999,TRUE,44,1,upper,6,0.00207072090357006,1493.40603677701,1487.23396322299,20,2,0.5,1,2019-10-08T08:00:00Z,2019-10-08T09:30:00Z,0.00206857991612191,0.00194072090357006,0.00193884013772515
2019-10-08T09:30:00Z,1492.58,1494.44,1494.83,1492.57,5610,9,2019-10-08,1.56098884832404,0.104453096030891,TRUE,38,1,upper,4,0.00261132740077234,1498.34247212081,1490.53752787919,20,2,0.5,1,2019-10-08T09:30:00Z,2019-10-08T10:30:00Z,0.00260792380934882,0.00248132740077234,0.00247825399097828
2019-10-08T10:30:00Z,1497.45,1498.72,1499,1497.39,4340,10,2019-10-08,1.7663037833854,0.11785415443748,TRUE,34,1,upper,6,0.00294635386093702,1503.13575945846,1494.30424054154,20,2,0.5,1,2019-10-08T10:30:00Z,2019-10-08T12:00:00Z,0.00294202186737155,0.00281635386093702,0.00281239536700663
2019-10-08T12:00:00Z,1501.15,1502.48,1503.82,1500.84,7646,12,2019-10-08,1.79348816894611,0.119368521973411,TRUE,28,1,upper,12,0.00298421304933523,1506.96372042237,1497.99627957764,20,2,0.5,1,2019-10-08T12:00:00Z,2019-10-08T15:00:00Z,0.00297976912445718,0.00285421304933523,0.0028501475173621
2019-10-08T15:00:00Z,1503.68,1506,1507.26,1502.31,12375,15,2019-10-08,2.70848689828915,0.179846407588921,TRUE,16,-1,lower,15,-0.00449616018972307,1512.77121724572,1499.22878275428,15,2,0.5,-1,2019-10-08T15:00:00Z,2019-10-08T18:45:00Z,-0.00450629831779413,-0.00462616018972307,-0.00463689398574045
2019-10-09T02:00:00Z,1508.77,1507.9,1508.79,1507.19,1975,2,2019-10-09,1.59801348580179,0.105976091637495,TRUE,68,-1,lower,4,-0.00264940229093734,1511.8950337145,1503.9049662855,20,1,1,-1,2019-10-09T02:00:00Z,2019-10-09T03:00:00Z,-0.00265291816854276,-0.00277940229093734,-0.00278327200146953
2019-10-09T03:00:00Z,1505.41,1505.15,1505.41,1503.81,4046,3,2019-10-09,1.55488564803456,0.103304364882873,TRUE,64,0,vertical,20,0.000770687306912836,1509.03721412009,1501.26278587991,20,2,0.5,0,2019-10-09T03:00:00Z,2019-10-09T08:00:00Z,0.00077039047994775,0.000640687306912836,0.000640482154421348
2019-10-09T08:00:00Z,1506.91,1506.31,1507.07,1505.8,2952,8,2019-10-09,1.04375747658868,0.0692923419872855,TRUE,44,1,upper,4,0.00173230854968215,1508.91939369147,1503.70060630853,20,2,0.5,1,2019-10-09T08:00:00Z,2019-10-09T09:00:00Z,0.00173080983380237,0.00160230854968215,0.00160102622294392
2019-10-09T09:00:00Z,1508.22,1508.82,1509.53,1507.6,5926,9,2019-10-09,1.27607728038984,0.0845745205120453,TRUE,40,-1,lower,6,-0.00211436301280112,1512.01019320097,1505.62980679903,20,2,0.5,-1,2019-10-09T09:00:00Z,2019-10-09T10:30:00Z,-0.00211660143405603,-0.00224436301280112,-0.00224688537023165
2019-10-09T10:30:00Z,1505.9,1505,1507.44,1504.06,5737,10,2019-10-09,1.92621620596769,0.12798778777194,TRUE,34,-1,lower,5,-0.00319969469429857,1509.81554051492,1500.18445948508,20,2,0.5,-1,2019-10-09T10:30:00Z,2019-10-09T11:45:00Z,-0.00320482466317924,-0.00332969469429857,-0.00333525046378272
2019-10-09T11:45:00Z,1502.48,1501.26,1502.73,1499.82,11776,11,2019-10-09,2.18015350746187,0.145221581036054,TRUE,29,1,upper,10,0.00363053952590143,1506.71038376865,1495.80961623135,20,2,0.5,1,2019-10-09T11:45:00Z,2019-10-09T14:15:00Z,0.00362396502512858,0.00350053952590143,0.00349442689825808
2019-10-09T14:15:00Z,1505.04,1506.9,1507.5,1504.72,6923,14,2019-10-09,2.0478482405864,0.135898084848789,TRUE,19,0,vertical,18,-0.00144667861171947,1512.01962060147,1501.78037939853,18,2,0.5,0,2019-10-09T14:15:00Z,2019-10-09T18:45:00Z,-0.00144772606155964,-0.00157667861171947,-0.0015779228774853
2019-10-10T02:00:00Z,1511.31,1509.84,1512.84,1507.44,17475,2,2019-10-10,3.14063153485771,0.208010884256458,TRUE,68,0,vertical,20,-0.000887511259471148,1517.69157883714,1501.98842116286,20,1,1,0,2019-10-10T02:00:00Z,2019-10-10T07:00:00Z,-0.00088790533076808,-0.00101751125947115,-0.00101802927547393
2019-10-10T07:00:00Z,1508.48,1507.51,1508.58,1507.37,1269,7,2019-10-10,1.4866881304096,0.0986187906156241,TRUE,48,-1,lower,5,-0.00246546976539059,1511.22672032602,1503.79327967398,20,2,0.5,-1,2019-10-10T07:00:00Z,2019-10-10T08:15:00Z,-0.00246851404071457,-0.00259546976539058,-0.00259884383650633
2019-10-10T08:15:00Z,1506.83,1504.83,1507.19,1503.76,5608,8,2019-10-10,1.73152727412555,0.11506464345644,TRUE,43,1,upper,5,0.00287661608641097,1509.15881818531,1500.50118181469,20,2,0.5,1,2019-10-10T08:15:00Z,2019-10-10T09:30:00Z,0.00287248654386674,0.00274661608641097,0.00274285102898373
2019-10-10T09:30:00Z,1508.79,1509.95,1510.38,1508.42,7727,9,2019-10-10,1.95837374009838,0.129697919805185,TRUE,38,-1,lower,20,-0.00324244799512954,1514.84593435025,1505.05406564975,20,2,0.5,-1,2019-10-10T09:30:00Z,2019-10-10T14:30:00Z,-0.0032477161204607,-0.00337244799512954,-0.00337814751570177
2019-10-10T14:30:00Z,1509.1,1501.2,1511.27,1500.95,18306,14,2019-10-10,2.71513950498835,0.18086460864564,TRUE,18,-1,lower,5,-0.00452161521614106,1507.98784876247,1494.41215123753,17,2,0.5,-1,2019-10-10T14:30:00Z,2019-10-10T15:45:00Z,-0.0045318686379154,-0.00465161521614106,-0.00466246764549563
