datetime,open,close,high,low,volume,hour,date,atr,atr_pct,in_session,bars_until_session_end,label,barrier_touched,bars_to_exit,realized_return,upper_barrier,lower_barrier,effective_horizon,n_concurrent,sample_weight,entry_time,exit_time
2021-10-08T09:15:00Z,1755.21,1754.51,1756.15,1754.49,4893,9,2021-10-08,1.77422176958139,0.101123491435295,TRUE,39,1,upper,9,0.00252808728588243,1758.94555442395,1750.07444557605,20,1,1,2021-10-08T09:15:00Z,2021-10-08T11:30:00Z
2021-10-08T14:45:00Z,1774.67,1775.84,1776.56,1770.37,20755,14,2021-10-08,3.5651414080856,0.200758030458014,TRUE,17,-1,lower,5,-0.00501895076145033,1784.75285352021,1766.92714647979,16,1,1,2021-10-08T14:45:00Z,2021-10-08T16:00:00Z
2021-10-08T16:30:00Z,1762.26,1759.8,1762.28,1755.38,13929,16,2021-10-08,4.86084934354897,0.276216009975507,TRUE,10,0,vertical,9,-0.000875099443118516,1771.95212335887,1747.64787664113,9,1,1,2021-10-08T16:30:00Z,2021-10-08T18:45:00Z
2021-10-11T02:00:00Z,1753.94,1756.92,1757.85,1753.91,3568,2,2021-10-11,2.05572823211554,0.117007503592397,TRUE,68,0,vertical,20,6.26095667417412e-05,1762.05932058029,1751.78067941971,20,1,1,2021-10-11T02:00:00Z,2021-10-11T07:00:00Z
2021-10-12T02:00:00Z,1753.14,1752.12,1753.29,1751.89,2872,2,2021-10-12,0.972089984010567,0.0554807880744793,TRUE,68,1,upper,4,0.00138701970186198,1754.55022496003,1749.68977503997,20,1,1,2021-10-12T02:00:00Z,2021-10-12T03:00:00Z
2021-10-12T03:15:00Z,1755.49,1753.95,1755.72,1753.77,3628,3,2021-10-12,1.5527177146584,0.0885269086723339,TRUE,63,1,upper,4,0.00221317271680836,1757.83179428665,1750.06820571335,20,1,1,2021-10-12T03:15:00Z,2021-10-12T04:15:00Z
2021-10-12T14:30:00Z,1757.68,1754.44,1757.68,1753.79,13157,14,2021-10-12,2.51144206651541,0.143147788839482,TRUE,18,1,upper,2,0.00357869472098708,1760.71860516629,1748.16139483371,17,1,1,2021-10-12T14:30:00Z,2021-10-12T15:00:00Z
2021-10-12T16:00:00Z,1768.19,1766.17,1769.22,1765.87,11573,16,2021-10-12,3.78977548327101,0.21457591756575,TRUE,12,0,vertical,11,-0.00313673089226969,1775.64443870818,1756.69556129182,11,1,1,2021-10-12T16:00:00Z,2021-10-12T18:45:00Z
2021-10-13T02:00:00Z,1760.2,1760.72,1761.5,1759.77,2228,2,2021-10-13,0.935448233148747,0.0531287333107335,TRUE,68,1,upper,17,0.00132821833276839,1763.05862058287,1758.38137941713,20,1,1,2021-10-13T02:00:00Z,2021-10-13T06:15:00Z
2021-10-13T14:45:00Z,1760.16,1761.58,1763.22,1758.67,15794,14,2021-10-13,3.7688519724031,0.213947250332264,TRUE,17,1,upper,3,0.00534868125830658,1771.00212993101,1752.15787006899,16,1,1,2021-10-13T14:45:00Z,2021-10-13T15:30:00Z
