datetime,open,high,low,close,label,barrier_touched,bars_to_exit,log_return,pred_prob_long,pred_prob_short,signal,signal_long,signal_short,log_return_calculated,pnl,trade_direction,label_return_for_trade,label_direction,is_aligned,label_profitable,signal_profitable,aligned_and_profitable
2025-07-04T05:00:00Z,3327.26,3329.34,3326.07,3329.32,1,upper,2,0.00136447394725824,0.76898330450058,0.800213217735291,-1,1,1,0.00288830737049043,-0.00288830737049043,Short,-0.00136447394725824,1,FALSE,FALSE,FALSE,FALSE
2025-07-04T08:30:00Z,3344.04,3344.04,3341.97,3342.26,-1,lower,2,-0.00125782977487831,0.847003281116486,0.81321531534195,1,1,1,-0.000131656114419781,-0.000131656114419781,Long,-0.00125782977487831,-1,FALSE,FALSE,FALSE,FALSE
2025-07-04T09:00:00Z,3342.63,3343.6,3337.69,3338.95,1,upper,4,0.00138461281279597,0.796232044696808,0.697750926017761,1,1,1,-0.0018195912290239,-0.0018195912290239,Long,0.00138461281279597,1,TRUE,TRUE,FALSE,TRUE
2025-07-04T11:30:00Z,3338.2,3338.63,3332.94,3334.31,0,vertical,6,0.000398803594517882,0.651229083538055,0.681096136569977,-1,1,1,-0.00702154333410999,0.00702154333410999,Short,-0.000398803594517882,0,FALSE,FALSE,TRUE,FALSE
2025-07-04T13:00:00Z,3336.73,3336.92,3335.09,3335.64,0,vertical,6,-0.000827769927239158,0.630997598171234,0.591204166412354,1,1,1,-0.0057605854928379,-0.0057605854928379,Long,-0.000827769927239158,0,FALSE,FALSE,FALSE,FALSE
2025-07-04T14:30:00Z,3335.08,3336.9,3332.09,3332.88,1,upper,5,0.0014891951115552,0.781555235385895,0.844459474086762,-1,1,1,-0.00493281556559876,0.00493281556559876,Short,-0.0014891951115552,1,FALSE,FALSE,TRUE,FALSE
2025-07-04T15:45:00Z,3337.63,3337.92,3333.54,3333.77,0,vertical,6,-0.000474050258203898,0.576489865779877,0.687399387359619,-1,1,1,-0.00795955481483274,0.00795955481483274,Short,0.000474050258203898,0,FALSE,TRUE,TRUE,FALSE
2025-07-07T03:00:00Z,3326.49,3327.58,3310.6,3310.98,1,upper,3,0.002613341869112,0.420515209436417,0.564372837543488,-1,0,1,-0.00109997714435621,0.00109997714435621,Short,-0.002613341869112,1,FALSE,FALSE,TRUE,FALSE
2025-07-07T07:45:00Z,3310.72,3315.06,3310.65,3313.31,-1,lower,5,-0.0020970660149934,0.551899373531342,0.596736669540405,-1,1,1,-0.00447987004126655,0.00447987004126655,Short,0.0020970660149934,-1,TRUE,TRUE,TRUE,TRUE
2025-07-07T09:00:00Z,3309.87,3313.2,3305.84,3311.03,-1,lower,3,-0.00215464447427186,0.869771182537079,0.88394033908844,-1,1,1,-0.000652577856660909,0.000652577856660909,Short,0.00215464447427186,-1,TRUE,TRUE,TRUE,TRUE
2025-07-07T09:45:00Z,3306.59,3306.59,3300.62,3302.15,1,upper,2,0.00222376391927399,0.699746608734131,0.652328014373779,1,1,1,0.0020329698940439,0.0020329698940439,Long,0.00222376391927399,1,TRUE,TRUE,TRUE,TRUE
2025-07-07T10:15:00Z,3306.92,3310.57,3306.53,3310.42,0,vertical,6,-0.000468328182729738,0.476759821176529,0.601746559143066,-1,0,1,0.00247697760543319,-0.00247697760543319,Short,0.000468328182729738,0,FALSE,TRUE,FALSE,FALSE
2025-07-07T12:30:00Z,3308.22,3308.7,3297.4,3298.5,1,upper,2,0.00208921044291829,0.669008076190949,0.677800893783569,-1,1,1,0.00284572727765827,-0.00284572727765827,Short,-0.00208921044291829,1,FALSE,FALSE,FALSE,FALSE
2025-07-07T13:00:00Z,3302.09,3307.48,3299.92,3304.45,0,vertical,6,0.00104350202667978,0.447301954030991,0.561752617359161,-1,0,1,0.00816161300086737,-0.00816161300086737,Short,-0.00104350202667978,0,FALSE,FALSE,FALSE,FALSE
2025-07-07T14:30:00Z,3302.69,3310.64,3302.09,3307.9,1,upper,5,0.0025842028815102,0.698270261287689,0.716560184955597,-1,1,1,0.00711811097418764,-0.00711811097418764,Short,-0.0025842028815102,1,FALSE,FALSE,FALSE,FALSE
2025-07-08T02:00:00Z,3334.57,3337.1,3332.92,3336.21,-1,lower,4,-0.00152683313861502,0.519998550415039,0.872425258159638,-1,1,1,-0.00364248806326754,0.00364248806326754,Short,0.00152683313861502,-1,TRUE,TRUE,TRUE,TRUE
2025-07-08T03:00:00Z,3334.16,3335.52,3329.6,3331.41,0,vertical,6,0.00123594948341108,0.674085855484009,0.479738622903824,1,1,0,-0.00488673342314638,-0.00488673342314638,Long,0.00123594948341108,0,FALSE,TRUE,FALSE,FALSE
2025-07-08T08:15:00Z,3332.13,3334.9,3330.68,3334.51,0,vertical,6,-0.000191950669267616,0.769939064979553,0.664217352867127,1,1,1,-0.0111247458834471,-0.0111247458834471,Long,-0.000191950669267616,0,FALSE,FALSE,FALSE,FALSE
2025-07-08T13:00:00Z,3324.59,3325.39,3323.3,3324.08,1,upper,4,0.00147950581416279,0.796533167362213,0.759741902351379,1,1,1,-0.00547814341333161,-0.00547814341333161,Long,0.00147950581416279,1,TRUE,TRUE,FALSE,TRUE
2025-07-08T14:00:00Z,3324.98,3329.5,3324.73,3329.25,-1,lower,4,-0.00186506290696917,0.586297035217285,0.522440791130066,1,1,1,-0.0095460572474699,-0.0095460572474699,Long,-0.00186506290696917,-1,FALSE,FALSE,FALSE,FALSE
2025-07-08T15:00:00Z,3328.13,3328.57,3320.12,3322.28,-1,lower,3,-0.00209459261603294,0.761013507843018,0.606945812702179,1,1,1,-0.00745029806089487,-0.00745029806089487,Long,-0.00209459261603294,-1,FALSE,FALSE,FALSE,FALSE
2025-07-08T15:45:00Z,3321.65,3322.38,3314.72,3315.17,-1,lower,1,-0.00253745279918531,0.549791514873505,0.452302664518356,1,1,0,-0.00279410369528492,-0.00279410369528492,Long,-0.00253745279918531,-1,FALSE,FALSE,FALSE,FALSE
2025-07-08T16:00:00Z,3315.11,3315.78,3305.18,3305.92,-1,lower,2,-0.00292363445843763,0.431554228067398,0.66039103269577,-1,0,1,-0.00258052153400235,0.00258052153400235,Short,0.00292363445843763,-1,TRUE,TRUE,TRUE,TRUE
2025-07-09T02:00:00Z,3302.33,3307.9,3301.82,3305.01,0,vertical,6,-0.000472122106807697,0.748035788536072,0.72774201631546,1,1,1,-0.00146551672059046,-0.00146551672059046,Long,-0.000472122106807697,0,FALSE,FALSE,FALSE,FALSE
2025-07-09T03:30:00Z,3306.24,3307.21,3303.34,3303.45,-1,lower,4,-0.00172284871740632,0.635313808917999,0.514973878860474,1,1,1,-0.00305602027794519,-0.00305602027794519,Long,-0.00172284871740632,-1,FALSE,FALSE,FALSE,FALSE
2025-07-09T09:15:00Z,3291.65,3294.1,3290.49,3290.69,-1,lower,4,-0.00185661471477291,0.604578077793121,0.337754219770432,1,1,0,0.00287671306555657,0.00287671306555657,Long,-0.00185661471477291,-1,FALSE,FALSE,TRUE,FALSE
2025-07-09T14:30:00Z,3290.79,3295.5,3290.65,3293.37,1,upper,5,0.00201778431328397,0.873555719852448,0.819149672985077,1,1,1,0.00754426054800963,0.00754426054800963,Long,0.00201778431328397,1,TRUE,TRUE,TRUE,TRUE
2025-07-09T15:45:00Z,3296.07,3305.17,3293.18,3300.17,1,upper,3,0.00277370627899628,0.404375642538071,0.622884273529053,-1,0,1,0.00548163488384714,-0.00548163488384714,Short,-0.00277370627899628,1,FALSE,FALSE,FALSE,FALSE
2025-07-10T02:00:00Z,3317.52,3319.59,3316.54,3318.31,1,upper,5,0.00114858567140788,0.868071913719177,0.95079505443573,-1,1,1,0,0,Short,-0.00114858567140788,1,FALSE,FALSE,FALSE,FALSE
2025-07-10T02:00:00Z,3317.52,3319.59,3316.54,3318.31,1,upper,5,0.00114858567140788,0.824183225631714,0.953721284866333,-1,1,1,0,0,Short,-0.00114858567140788,1,FALSE,FALSE,FALSE,FALSE
2025-07-10T02:00:00Z,3317.52,3319.59,3316.54,3318.31,1,upper,5,0.00114858567140788,0.868071913719177,0.95079505443573,-1,1,1,0,0,Short,-0.00114858567140788,1,FALSE,FALSE,FALSE,FALSE
2025-07-10T02:00:00Z,3317.52,3319.59,3316.54,3318.31,1,upper,5,0.00114858567140788,0.824183225631714,0.953721284866333,-1,1,1,0,0,Short,-0.00114858567140788,1,FALSE,FALSE,FALSE,FALSE
2025-07-10T02:00:00Z,3317.52,3319.59,3316.54,3318.31,1,upper,5,0.00114858567140788,0.89652681350708,0.956508278846741,-1,1,1,0,0,Short,-0.00114858567140788,1,FALSE,FALSE,FALSE,FALSE
2025-07-10T02:00:00Z,3317.52,3319.59,3316.54,3318.31,1,upper,5,0.00114858567140788,0.857803523540497,0.959453225135803,-1,1,1,0,0,Short,-0.00114858567140788,1,FALSE,FALSE,FALSE,FALSE
2025-07-10T02:00:00Z,3317.52,3319.59,3316.54,3318.31,1,upper,5,0.00114858567140788,0.89652681350708,0.956508278846741,-1,1,1,0,0,Short,-0.00114858567140788,1,FALSE,FALSE,FALSE,FALSE
2025-07-10T02:00:00Z,3317.52,3319.59,3316.54,3318.31,1,upper,5,0.00114858567140788,0.857803523540497,0.959453225135803,-1,1,1,0,0,Short,-0.00114858567140788,1,FALSE,FALSE,FALSE,FALSE
2025-07-10T02:00:00Z,3317.52,3319.59,3316.54,3318.31,1,upper,5,0.00114858567140788,0.857525110244751,0.945983946323395,-1,1,1,0,0,Short,-0.00114858567140788,1,FALSE,FALSE,FALSE,FALSE
2025-07-10T02:00:00Z,3317.52,3319.59,3316.54,3318.31,1,upper,5,0.00114858567140788,0.81209796667099,0.948660254478455,-1,1,1,0,0,Short,-0.00114858567140788,1,FALSE,FALSE,FALSE,FALSE
2025-07-10T02:00:00Z,3317.52,3319.59,3316.54,3318.31,1,upper,5,0.00114858567140788,0.857525110244751,0.945983946323395,-1,1,1,0,0,Short,-0.00114858567140788,1,FALSE,FALSE,FALSE,FALSE
2025-07-10T02:00:00Z,3317.52,3319.59,3316.54,3318.31,1,upper,5,0.00114858567140788,0.81209796667099,0.948660254478455,-1,1,1,0.00173431855563008,-0.00173431855563008,Short,-0.00114858567140788,1,FALSE,FALSE,FALSE,FALSE
2025-07-10T02:00:00Z,3317.52,3319.59,3316.54,3318.31,1,upper,5,0.00114858567140788,0.884743869304657,0.952710151672363,-1,1,1,0.00194488160199188,-0.00194488160199188,Short,-0.00114858567140788,1,FALSE,FALSE,FALSE,FALSE
2025-07-10T02:00:00Z,3317.52,3319.59,3316.54,3318.31,1,upper,5,0.00114858567140788,0.843429803848267,0.955445289611816,-1,1,1,0.000810325213672381,-0.000810325213672381,Short,-0.00114858567140788,1,FALSE,FALSE,FALSE,FALSE
2025-07-10T02:00:00Z,3317.52,3319.59,3316.54,3318.31,1,upper,5,0.00114858567140788,0.884743869304657,0.952710151672363,-1,1,1,0.00310218650361639,-0.00310218650361639,Short,-0.00114858567140788,1,FALSE,FALSE,FALSE,FALSE
2025-07-10T02:00:00Z,3317.52,3319.59,3316.54,3318.31,1,upper,5,0.00114858567140788,0.843429803848267,0.955445289611816,-1,1,1,0.00203210187685122,-0.00203210187685122,Short,-0.00114858567140788,1,FALSE,FALSE,FALSE,FALSE
2025-07-10T03:15:00Z,3320.48,3324.4,3320.47,3324.07,-1,lower,6,-0.00162930697254023,0.652829527854919,0.747314989566803,-1,1,1,-0.00111973667789858,0.00111973667789858,Short,0.00162930697254023,-1,TRUE,TRUE,TRUE,TRUE
2025-07-10T08:15:00Z,3324.72,3328.34,3323.93,3324.77,0,vertical,6,-0.0011345563883195,0.7280033826828,0.5253826379776,1,1,1,0.000769681792631066,0.000769681792631066,Long,-0.0011345563883195,0,FALSE,FALSE,TRUE,FALSE
2025-07-10T09:45:00Z,3322.72,3323.1,3319.86,3321,1,upper,4,0.00150975822205703,0.698295533657074,0.63936448097229,1,1,1,-0.000195743335940852,-0.000195743335940852,Long,0.00150975822205703,1,TRUE,TRUE,FALSE,TRUE
2025-07-10T10:45:00Z,3325.45,3330.02,3325.28,3328.62,-1,lower,3,-0.00156318523154538,0.580294251441956,0.675298750400543,-1,1,1,-0.0024876046258848,0.0024876046258848,Short,0.00156318523154538,-1,TRUE,TRUE,TRUE,TRUE
2025-07-10T11:30:00Z,3326.37,3327.06,3323.19,3325.06,0,vertical,6,0.001052058976264,0.340014070272446,0.516143262386322,-1,0,1,0.00321581821778239,-0.00321581821778239,Short,-0.001052058976264,0,FALSE,FALSE,FALSE,FALSE
2025-07-10T13:00:00Z,3325.22,3329.3,3325.22,3328.56,-1,lower,3,-0.00159222164831655,0.928773999214172,0.949376821517944,-1,1,1,-0.00477621118586054,0.00477621118586054,Short,0.00159222164831655,-1,TRUE,TRUE,TRUE,TRUE
2025-07-10T13:45:00Z,3325.66,3326.01,3318.26,3320.35,1,upper,5,0.00197480872904188,0.797474205493927,0.797770977020264,-1,1,1,0.00307326145674172,-0.00307326145674172,Short,-0.00197480872904188,1,FALSE,FALSE,FALSE,FALSE
2025-07-10T15:00:00Z,3323.78,3329.42,3323.65,3327.33,-1,lower,3,-0.00206611354209283,0.671706259250641,0.798657476902008,-1,1,1,0.00253335670001047,-0.00253335670001047,Short,0.00206611354209283,-1,TRUE,TRUE,FALSE,TRUE
2025-07-11T02:00:00Z,3323.71,3327.51,3323.58,3326.51,1,upper,2,0.00110609340324752,0.87911182641983,0.968762338161469,-1,1,1,0.00121975415749013,-0.00121975415749013,Short,-0.00110609340324752,1,FALSE,FALSE,FALSE,FALSE
