combination_id,max_depth,eta,gamma,lambda,min_child_weight,train_auc,train_precision,train_recall,train_f1,test_auc,test_precision,test_recall,test_f1,rank_train_auc,rank_train_precision,rank_test_auc,rank_test_precision,avg_rank
80,4,0.1,0.2,2,5,0.859173850598715,0.800487359122754,0.743843758845174,0.77112676056338,0.731155243796101,0.629213483146067,0.756155679110405,0.686868686868687,34,49,117,222,105.5
81,5,0.1,0.2,2,5,0.873079174784393,0.816489770804492,0.751202943673932,0.782486916783371,0.728324361393917,0.633468834688347,0.742652899126291,0.683729433272395,3,3,199,180,96.25
82,3,0.03,0,1,10,0.843495304277026,0.787444766113058,0.731389753750354,0.758382860077775,0.734403358215452,0.629042904290429,0.756949960285941,0.687094448449892,186,183,27,226,155.5
83,4,0.03,0,1,10,0.846162725645096,0.789890377588307,0.734220209453722,0.761038580020537,0.730160048326585,0.634846461949266,0.755361397934869,0.689880304678999,152,149,147,166,153.5
84,5,0.03,0,1,10,0.846994462191504,0.788717321510472,0.730116048683838,0.758286176232821,0.731490770667049,0.642126789366053,0.748212867355044,0.691122523844461,142,162,103,78,121.25
85,3,0.05,0,1,10,0.841938770599831,0.787509520182788,0.731672799320691,0.758565035580662,0.735944370850283,0.636540962288687,0.777601270849881,0.700035752592063,211,181,10,148,137.5
86,4,0.05,0,1,10,0.84892732324416,0.793256704980843,0.732521936031701,0.761680523876095,0.733718910187292,0.640356897735072,0.741064336775219,0.687039764359352,129,118,45,97,97.25
87,5,0.05,0,1,10,0.857943125240527,0.79787072243346,0.74242853099349,0.769151821713951,0.733595682753651,0.647612642905178,0.764892772041303,0.701383831026948,42,72,47,24,46.25
88,3,0.1,0,1,10,0.845235602784877,0.785670916818458,0.732521936031701,0.758166105170646,0.729271337432878,0.629533678756477,0.772041302621128,0.693542632893329,164,212,174,218,192
89,4,0.1,0,1,10,0.842448224421682,0.786096256684492,0.72813472969148,0.756006171478951,0.730758772922647,0.64968152866242,0.729150119142176,0.687125748502994,205,206,133,14,139.5
90,5,0.1,0,1,10,0.843988334252736,0.785801340645948,0.72997452589867,0.756859867938371,0.734033006200215,0.642761394101877,0.761715647339158,0.697201017811705,179,211,33,63.5,121.625
91,3,0.03,0.1,1,10,0.84269924674644,0.786137710898313,0.731955844891028,0.758079882740931,0.733102773019086,0.630577427821522,0.76330420969023,0.690621631333094,199,204,55.5,209,166.875
92,4,0.03,0.1,1,10,0.844512432851528,0.7890625,0.728983866402491,0.757834338678829,0.732051991261568,0.637347767253045,0.748212867355044,0.688344903178663,168,156,87,135,136.5
93,5,0.03,0.1,1,10,0.862695724189427,0.805496183206107,0.746674214548542,0.77497062279671,0.730669031204669,0.638869745003446,0.736298649722002,0.684132841328413,17,18,137,123.5,73.875
94,3,0.05,0.1,1,10,0.849991824960072,0.791742286751361,0.740871780356637,0.765462786957157,0.729783668882528,0.626728110599078,0.756155679110405,0.685385169186465,123,131,161,232,161.75
95,4,0.05,0.1,1,10,0.858596683667481,0.801310376352278,0.744268327200679,0.771736737838433,0.730043518036076,0.636612021857924,0.740270055599682,0.68453911127433,36,44,150,147,94.25
96,5,0.05,0.1,1,10,0.845339125085878,0.786695148001221,0.729691480328333,0.75712187958884,0.733785211904306,0.647058823529412,0.751389992057188,0.695332598309445,162,196,42,27,106.75
97,3,0.1,0.1,1,10,0.847557125369575,0.7919452887538,0.737475233512596,0.763740290194929,0.733102773019086,0.631857237276933,0.75933280381255,0.68975468975469,139,129,55.5,198.5,130.5
98,4,0.1,0.1,1,10,0.854655676560707,0.795697284101312,0.738041324653269,0.765785609397944,0.730740020921875,0.635409836065574,0.76965845909452,0.696120689655172,71,93,135,158,114.25
99,5,0.1,0.1,1,10,0.859644587969526,0.801158889905459,0.743560713274837,0.771285965942455,0.728073218526441,0.642068965517241,0.739475774424146,0.68733850129199,30,45,204,80,89.75
100,3,0.03,0.2,1,10,0.842909860334823,0.786822884966525,0.731814322105859,0.758322334653175,0.732521460995169,0.632198952879581,0.767275615567911,0.693218514531755,194,195,77,190,164
101,4,0.03,0.2,1,10,0.841801803967489,0.785921958684009,0.726861024624965,0.755238585398132,0.732728402717969,0.640190088255261,0.74900714853058,0.690336749633968,214,208,70,101,148.25
102,5,0.03,0.2,1,10,0.854283102587335,0.797981342712953,0.738465893008774,0.767070929805219,0.733698818757894,0.639154160982265,0.744241461477363,0.687706422018349,74,71,46,119,77.5
103,3,0.05,0.2,1,10,0.836817578887291,0.781568926123382,0.726153410699123,0.752842784828699,0.732928647297636,0.6375,0.76965845909452,0.697373155811443,235,235,60,133,165.75
104,4,0.05,0.2,1,10,0.850911017944777,0.79406364749082,0.734503255024059,0.763123070136745,0.730223671186345,0.636929460580913,0.731532962668785,0.680961182994455,116,110,144.5,142,128.125
105,5,0.05,0.2,1,10,0.849921497486804,0.79328323876706,0.732097367676196,0.761463163317877,0.726968189909548,0.643502432244614,0.735504368546466,0.686434395848777,124,117,217,55,128.25
106,3,0.1,0.2,1,10,0.846074097624643,0.788723855713853,0.736484574016417,0.761709601873536,0.731219536370175,0.637964774951076,0.776806989674345,0.700573065902579,154,161,113,130,139.5
107,4,0.1,0.2,1,10,0.845473325482576,0.788100686498856,0.731106708180017,0.758534615666985,0.730315422047263,0.640080428954424,0.758538522637014,0.69429298436932,160,170,141,103,143.5
